im_path,label
CAFE_SN10041_Frame_4.png,0.0
CAFE_SN10020_Frame_8.png,0.0
CAFE_SN11127_Frame_6.png,3.0
CAFE_SN10979_Frame_2.png,2.0
CAFE_SN11119_Frame_3.png,3.0
CAFE_SN9979_Frame_3.png,0.0
CAFE_SN11105_Frame_9.png,3.0
CAFE_SN10544_Frame_9.png,1.0
CAFE_SN10052_Frame_3.png,0.0
CAFE_SN9979_Frame_6.png,0.0
CAFE_SN10002_Frame_3.png,0.0
CAFE_SN11107_Frame_5.png,3.0
CAFE_SN10542_Frame_1.png,1.0
CAFE_SN11110_Frame_8.png,3.0
CAFE_SN10087_Frame_9.png,0.0
CAFE_SN11105_Frame_7.png,3.0
CAFE_SN11018_Frame_4.png,2.0
CAFE_SN10525_Frame_6.png,1.0
CAFE_SN10031_Frame_2.png,0.0
CAFE_SN10959_Frame_4.png,2.0
CAFE_SN10542_Frame_6.png,1.0
CAFE_SN10087_Frame_5.png,0.0
CAFE_SN11010_Frame_8.png,2.0
CAFE_SN10573_Frame_6.png,1.0
CAFE_SN11082_Frame_6.png,3.0
CAFE_SN10002_Frame_5.png,0.0
CAFE_SN10047_Frame_7.png,0.0
CAFE_SN10587_Frame_4.png,1.0
CAFE_SN10047_Frame_3.png,0.0
CAFE_SN10084_Frame_7.png,0.0
CAFE_SN10048_Frame_3.png,0.0
CAFE_SN11120_Frame_9.png,3.0
CAFE_SN11093_Frame_5.png,3.0
CAFE_SN10513_Frame_8.png,1.0
CAFE_SN10031_Frame_9.png,0.0
CAFE_SN9986_Frame_9.png,0.0
CAFE_SN11082_Frame_2.png,3.0
CAFE_SN10569_Frame_2.png,1.0
CAFE_SN11079_Frame_4.png,3.0
CAFE_SN11101_Frame_8.png,3.0
CAFE_SN11101_Frame_4.png,3.0
CAFE_SN11110_Frame_5.png,3.0
CAFE_SN10077_Frame_9.png,0.0
CAFE_SN10990_Frame_4.png,2.0
CAFE_SN11086_Frame_4.png,3.0
CAFE_SN10048_Frame_6.png,0.0
CAFE_SN10545_Frame_1.png,1.0
CAFE_SN11110_Frame_7.png,3.0
CAFE_SN11107_Frame_6.png,3.0
CAFE_SN11018_Frame_3.png,2.0
CAFE_SN11078_Frame_2.png,3.0
CAFE_SN10077_Frame_1.png,0.0
CAFE_SN10513_Frame_9.png,1.0
CAFE_SN10572_Frame_4.png,1.0
CAFE_SN10985_Frame_8.png,2.0
CAFE_SN11105_Frame_6.png,3.0
CAFE_SN10525_Frame_2.png,1.0
CAFE_SN10054_Frame_1.png,0.0
CAFE_SN10029_Frame_2.png,0.0
CAFE_SN10057_Frame_6.png,0.0
CAFE_SN10587_Frame_5.png,1.0
CAFE_SN10961_Frame_3.png,2.0
CAFE_SN10990_Frame_7.png,2.0
CAFE_SN10031_Frame_6.png,0.0
CAFE_SN10976_Frame_2.png,2.0
CAFE_SN10573_Frame_7.png,1.0
CAFE_SN11112_Frame_2.png,3.0
CAFE_SN10570_Frame_1.png,1.0
CAFE_SN11000_Frame_4.png,2.0
CAFE_SN10031_Frame_3.png,0.0
CAFE_SN11079_Frame_5.png,3.0
CAFE_SN10573_Frame_1.png,1.0
CAFE_SN11082_Frame_8.png,3.0
CAFE_SN10524_Frame_7.png,1.0
CAFE_SN11010_Frame_5.png,2.0
CAFE_SN10545_Frame_5.png,1.0
CAFE_SN10573_Frame_3.png,1.0
CAFE_SN10077_Frame_7.png,0.0
CAFE_SN10517_Frame_6.png,1.0
CAFE_SN10985_Frame_4.png,2.0
CAFE_SN10572_Frame_8.png,1.0
CAFE_SN11110_Frame_3.png,3.0
CAFE_SN9979_Frame_4.png,0.0
CAFE_SN10047_Frame_5.png,0.0
CAFE_SN11127_Frame_7.png,3.0
CAFE_SN11120_Frame_8.png,3.0
CAFE_SN11057_Frame_7.png,2.0
CAFE_SN10029_Frame_6.png,0.0
CAFE_SN10057_Frame_8.png,0.0
CAFE_SN10020_Frame_6.png,0.0
CAFE_SN10524_Frame_1.png,1.0
CAFE_SN10989_Frame_9.png,2.0
CAFE_SN11002_Frame_7.png,2.0
CAFE_SN10517_Frame_4.png,1.0
CAFE_SN10544_Frame_5.png,1.0
CAFE_SN11006_Frame_5.png,2.0
CAFE_SN10547_Frame_7.png,1.0
CAFE_SN10570_Frame_9.png,1.0
CAFE_SN10076_Frame_3.png,0.0
CAFE_SN10517_Frame_2.png,1.0
CAFE_SN10002_Frame_8.png,0.0
CAFE_SN10961_Frame_8.png,2.0
CAFE_SN10990_Frame_8.png,2.0
CAFE_SN10513_Frame_1.png,1.0
CAFE_SN10967_Frame_2.png,2.0
CAFE_SN10989_Frame_8.png,2.0
CAFE_SN11018_Frame_9.png,2.0
CAFE_SN10970_Frame_6.png,2.0
CAFE_SN10544_Frame_1.png,1.0
CAFE_SN10547_Frame_5.png,1.0
CAFE_SN11105_Frame_8.png,3.0
CAFE_SN10976_Frame_8.png,2.0
CAFE_SN11121_Frame_2.png,3.0
CAFE_SN11093_Frame_3.png,3.0
CAFE_SN10967_Frame_7.png,2.0
CAFE_SN11000_Frame_5.png,2.0
